City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Evensk,RU,2021-09-25 21:49:19,61.95,159.2333,43.93,83,100,1.32
268,Fairbanks,US,2021-09-25 21:49:19,64.8378,-147.7164,34.61,89,75,0.0
269,Deputatskiy,RU,2021-09-25 21:49:20,69.3,139.9,27.73,85,100,18.12
270,Brunico,IT,2021-09-25 21:49:20,46.7958,11.9364,60.98,96,29,1.21
271,Nipawin,CA,2021-09-25 21:49:20,53.3668,-104.0009,68.04,40,40,9.22
272,Beira,MZ,2021-09-25 21:49:20,-19.8436,34.8389,68.09,88,20,7.0
273,Necochea,AR,2021-09-25 21:49:21,-38.5473,-58.7368,63.03,83,0,10.94
274,Poya,NC,2021-09-25 21:49:21,-21.35,165.15,75.4,56,42,2.42
275,Akyab,MM,2021-09-25 21:49:21,20.15,92.9,79.81,86,60,8.25
276,Abasha,GE,2021-09-25 21:49:22,42.2096,42.2211,53.82,94,66,6.82
277,Gaimersheim,DE,2021-09-25 21:49:22,48.807,11.368,62.78,81,75,0.0
278,Nosy Varika,MG,2021-09-25 21:49:22,-20.5833,48.5333,68.7,86,72,1.07
279,Bijie,CN,2021-09-25 21:49:22,27.3125,105.2942,61.79,93,56,6.93
280,Oranjemund,NA,2021-09-25 21:49:23,-28.55,16.4333,55.85,84,10,4.47
281,Kasongo-Lunda,CD,2021-09-25 21:49:23,-6.4667,16.8167,72.93,69,28,1.72
282,Byron Bay,AU,2021-09-25 21:46:31,-28.65,153.6167,70.05,80,95,8.99
283,Xichang,CN,2021-09-25 21:49:24,27.8964,102.2634,61.77,92,81,1.1
284,Tazovskiy,RU,2021-09-25 21:49:24,67.4667,78.7,31.59,82,2,5.93
285,Dillon,US,2021-09-25 21:49:24,34.4166,-79.3712,80.58,46,43,3.4
286,Laguna,US,2021-09-25 21:49:25,38.421,-121.4238,97.23,34,1,4.0
287,Tigil,RU,2021-09-25 21:49:25,57.8,158.6667,45.27,70,45,5.75
288,Itarema,BR,2021-09-25 21:49:25,-2.9248,-39.9167,79.07,78,30,18.03
289,Alice Springs,AU,2021-09-25 21:49:26,-23.7,133.8833,54.95,33,3,6.91
290,Kruisfontein,ZA,2021-09-25 21:49:26,-34.0033,24.7314,53.89,58,19,7.43
291,Najran,SA,2021-09-25 21:49:26,17.4924,44.1277,74.05,17,93,3.56
292,Dawson,US,2021-09-25 21:49:27,31.7735,-84.4466,85.42,40,75,3.83
